
Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (FILL_BOX R2 B6 BOLT6 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 1.0005: (PICK_BOX_FROM_LOCATION R2 B6 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 0.0008: (MOVE_ROBOT R3 CENTRALWAREHOUSE L3) [D:1.0000; C:1.0000]
 1.0010: (MOVE_ROBOT R3 L3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 0.0012: (PICK_BOX_FROM_LOCATION R1 B2 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 2.0015: (MOVE_BOX_AND_ROBOT R1 CENTRALWAREHOUSE L1 B2) [D:1.0000; C:1.0000]
 3.0017: (MOVE_BOX_AND_ROBOT R1 L1 CENTRALWAREHOUSE B2) [D:1.0000; C:1.0000]
 4.0020: (MOVE_ROBOT R3 CENTRALWAREHOUSE L1) [D:1.0000; C:1.0000]
 5.0023: (MOVE_ROBOT R3 L1 L6) [D:1.0000; C:1.0000]
 0.0025: (FILL_BOX R2 B1 VALVE3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 6.0027: (MOVE_ROBOT R3 L6 L1) [D:1.0000; C:1.0000]
 7.0030: (MOVE_ROBOT R3 L1 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 8.0033: (PICK_BOX_FROM_LOCATION R3 B1 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 9.0035: (MOVE_BOX_AND_ROBOT R3 CENTRALWAREHOUSE L1 B1) [D:1.0000; C:1.0000]
 10.0037: (MOVE_BOX_AND_ROBOT R3 L1 L6 B1) [D:1.0000; C:1.0000]
 11.0040: (MOVE_BOX_AND_ROBOT R3 L6 L5 B1) [D:1.0000; C:1.0000]
 12.0042: (DELIVER_BOX_TO_WS R3 B1 WS6 L5 VALVE3) [D:1.0000; C:1.0000]
 13.0045: (EMPTY_BOX R3 B1 VALVE3 L5 WS6) [D:1.0000; C:1.0000]
 14.0048: (MOVE_ROBOT R3 L5 L6) [D:1.0000; C:1.0000]
 15.0050: (MOVE_ROBOT R3 L6 L1) [D:1.0000; C:1.0000]
 16.0053: (MOVE_ROBOT R3 L1 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 17.0055: (PICK_BOX_FROM_LOCATION R3 B2 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 18.0058: (MOVE_BOX_AND_ROBOT R3 CENTRALWAREHOUSE L2 B2) [D:1.0000; C:1.0000]
 19.0060: (MOVE_BOX_AND_ROBOT R3 L2 CENTRALWAREHOUSE B2) [D:1.0000; C:1.0000]
